nid,"parent_nid","name","serial","type","latitude","longitude","status"
17,"0","Provinsi Bali","51","1","-8.4095178","115.188916","1"
18,"0","Provinsi Nusa Tenggara Barat","52","1","-8.6529334","117.3616476","1"
19,"0","Provinsi Nusa Tenggara Timur","53","1","-8.6573819","121.0793705","1"
24,"0","Provinsi Sulawesi Utara","71","1","0.6246932","123.9750018","1"
25,"0","Provinsi Sulawesi Tengah","72","1","-1.4300254","121.4456179","1"
26,"0","Provinsi Sulawesi Selatan","73","1","-3.6687994","119.9740534","1"
27,"0","Provinsi Sulawesi Tenggara","74","1","-4.14491","122.174605","1"
28,"0","Provinsi Gorontalo","75","1","0.6999372","122.4467238","1"
29,"0","Provinsi Sulawesi Barat","76","1","-2.8441371","119.2320784","1"
30,"0","Provinsi Maluku","81","1","-3.2384616","130.1452734","1"
31,"0","Provinsi Maluku Utara","82","1","1.5709993","127.8087693","1"
